task,source_class,reported_rounded_median_seconds,reported_n_episodes,source_file,benchmark_class
PickPlaceCounterToOven,atomic,34,,atomic_episode_lengths.js,atomic
PickPlaceCounterToSink,atomic,32,,atomic_episode_lengths.js,atomic
PickPlaceCounterToStandMixer,atomic,31,,atomic_episode_lengths.js,atomic
PickPlaceCounterToStove,atomic,26,,atomic_episode_lengths.js,atomic
PickPlaceCounterToToasterOven,atomic,29,,atomic_episode_lengths.js,atomic
PickPlaceDrawerToCounter,atomic,15,,atomic_episode_lengths.js,atomic
PickPlaceFridgeDrawerToShelf,atomic,12,,atomic_episode_lengths.js,atomic
PickPlaceFridgeShelfToDrawer,atomic,12,,atomic_episode_lengths.js,atomic
PickPlaceMicrowaveToCounter,atomic,46,,atomic_episode_lengths.js,atomic
PickPlaceSinkToCounter,atomic,34,,atomic_episode_lengths.js,atomic
PickPlaceStoveToCounter,atomic,31,,atomic_episode_lengths.js,atomic
PickPlaceToasterOvenToCounter,atomic,18,,atomic_episode_lengths.js,atomic
PickPlaceToasterToCounter,atomic,37,,atomic_episode_lengths.js,atomic
PreheatOven,atomic,10,,atomic_episode_lengths.js,atomic
SlideDishwasherRack,atomic,9,,atomic_episode_lengths.js,atomic
SlideOvenRack,atomic,10,,atomic_episode_lengths.js,atomic
SlideToasterOvenRack,atomic,5,,atomic_episode_lengths.js,atomic
StartCoffeeMachine,atomic,8,,atomic_episode_lengths.js,atomic
TurnOffMicrowave,atomic,25,,atomic_episode_lengths.js,atomic
TurnOffSinkFaucet,atomic,23,,atomic_episode_lengths.js,atomic
TurnOffStove,atomic,21,,atomic_episode_lengths.js,atomic
TurnOnBlender,atomic,5,,atomic_episode_lengths.js,atomic
TurnOnElectricKettle,atomic,11,,atomic_episode_lengths.js,atomic
TurnOnMicrowave,atomic,23,,atomic_episode_lengths.js,atomic
TurnOnSinkFaucet,atomic,32,,atomic_episode_lengths.js,atomic
TurnOnStove,atomic,17,,atomic_episode_lengths.js,atomic
TurnOnToaster,atomic,6,,atomic_episode_lengths.js,atomic
TurnOnToasterOven,atomic,21,,atomic_episode_lengths.js,atomic
TurnSinkSpout,atomic,10,,atomic_episode_lengths.js,atomic
AddIceCubes,composite,32,110,composite_episode_lengths.js,composite
AddLemonToFish,composite,47,101,composite_episode_lengths.js,composite
AddMarshmallow,composite,28,108,composite_episode_lengths.js,composite
AddSugarCubes,composite,22,111,composite_episode_lengths.js,composite
AddSweetener,composite,26,106,composite_episode_lengths.js,composite
AddToSoupPot,composite,45,105,composite_episode_lengths.js,composite
AdjustHeat,composite,49,104,composite_episode_lengths.js,composite
AfterwashSorting,composite,63,101,composite_episode_lengths.js,composite
AirDryFruit,composite,48,104,composite_episode_lengths.js,composite
AlcoholServingPrep,composite,98,101,composite_episode_lengths.js,composite
AlignSilverware,composite,58,106,composite_episode_lengths.js,composite
ArrangeBreadBasket,composite,83,104,composite_episode_lengths.js,composite
ArrangeBreadBowl,composite,28,105,composite_episode_lengths.js,composite
ArrangeBuffetDessert,composite,91,103,composite_episode_lengths.js,composite
ArrangeCuttingFruits,composite,41,106,composite_episode_lengths.js,composite
ArrangeDrinkware,composite,39,103,composite_episode_lengths.js,composite
ArrangeSinkSanitization,composite,36,107,composite_episode_lengths.js,composite
ArrangeTea,composite,116,104,composite_episode_lengths.js,composite
ArrangeTeaAccompaniments,composite,42,102,composite_episode_lengths.js,composite
ArrangeUtensilsByType,composite,126,102,composite_episode_lengths.js,composite
ArrangeVegetables,composite,34,100,composite_episode_lengths.js,composite
AssembleCookingArray,composite,73,103,composite_episode_lengths.js,composite
BalancedMealPrep,composite,32,108,composite_episode_lengths.js,composite
BeginSlowCooking,composite,34,107,composite_episode_lengths.js,composite
BeverageOrganization,composite,81,100,composite_episode_lengths.js,composite
BeverageSorting,composite,102,102,composite_episode_lengths.js,composite
BlendIngredients,composite,45,107,composite_episode_lengths.js,composite
BlendMarinade,composite,73,108,composite_episode_lengths.js,composite
BlendSalsaMix,composite,65,103,composite_episode_lengths.js,composite
BlendVegetableSauce,composite,64,100,composite_episode_lengths.js,composite
BoilCorn,composite,40,101,composite_episode_lengths.js,composite
BoilEggs,composite,22,107,composite_episode_lengths.js,composite
BoilPot,composite,28,108,composite_episode_lengths.js,composite
BowlAndCup,composite,57,104,composite_episode_lengths.js,composite
BreadAndCheese,composite,18,215,composite_episode_lengths.js,composite
BreadSelection,composite,36,106,composite_episode_lengths.js,composite
BreadSetupSlicing,composite,16,107,composite_episode_lengths.js,composite
BuildAppetizerPlate,composite,90,106,composite_episode_lengths.js,composite
ButterOnPan,composite,28,111,composite_episode_lengths.js,composite
CandleCleanup,composite,100,102,composite_episode_lengths.js,composite
CategorizeCondiments,composite,38,105,composite_episode_lengths.js,composite
CerealAndBowl,composite,79,102,composite_episode_lengths.js,composite
CheeseMixing,composite,27,104,composite_episode_lengths.js,composite
CheesyBread,composite,15,101,composite_episode_lengths.js,atomic
ChooseMeasuringCup,composite,40,106,composite_episode_lengths.js,composite
ChooseRipeFruit,composite,21,108,composite_episode_lengths.js,composite
CleanBlenderJug,composite,19,109,composite_episode_lengths.js,composite
CleanBoard,composite,115,101,composite_episode_lengths.js,composite
CleanMicrowave,composite,45,110,composite_episode_lengths.js,composite
ClearClutter,composite,62,100,composite_episode_lengths.js,composite
ClearCuttingBoard,composite,35,108,composite_episode_lengths.js,composite
ClearFoodWaste,composite,37,104,composite_episode_lengths.js,composite
ClearFreezer,composite,82,104,composite_episode_lengths.js,composite
ClearReceptaclesForCleaning,composite,78,103,composite_episode_lengths.js,composite
ClearSink,composite,125,101,composite_episode_lengths.js,composite
ClearSinkArea,composite,77,108,composite_episode_lengths.js,composite
ClearSinkSpace,composite,28,101,composite_episode_lengths.js,composite
ClusterItemsForClearing,composite,43,106,composite_episode_lengths.js,composite
ClusterUtensilsInDrawer,composite,24,108,composite_episode_lengths.js,composite
CollectWashingSupplies,composite,58,101,composite_episode_lengths.js,composite
ColorfulSalsa,composite,52,109,composite_episode_lengths.js,composite
CondimentCollection,composite,38,106,composite_episode_lengths.js,composite
CookieDoughPrep,composite,61,108,composite_episode_lengths.js,composite
CoolBakedCake,composite,69,102,composite_episode_lengths.js,composite
CoolBakedCookies,composite,34,105,composite_episode_lengths.js,composite
CoolKettle,composite,55,100,composite_episode_lengths.js,composite
CountertopCleanup,composite,47,104,composite_episode_lengths.js,composite
CreateChildFriendlyFridge,composite,82,105,composite_episode_lengths.js,composite
CupcakeCleanup,composite,24,101,composite_episode_lengths.js,composite
CutBuffetPizza,composite,46,100,composite_episode_lengths.js,composite
CuttingToolSelection,composite,21,108,composite_episode_lengths.js,composite
DateNight,composite,110,107,composite_episode_lengths.js,composite
DefrostByCategory,composite,61,100,composite_episode_lengths.js,composite
DeliverBrewedCoffee,composite,23,107,composite_episode_lengths.js,composite
DeliverStraw,composite,50,104,composite_episode_lengths.js,composite
DessertAssembly,composite,27,103,composite_episode_lengths.js,composite
DessertUpgrade,composite,25,109,composite_episode_lengths.js,composite
DisplayMeatVariety,composite,90,106,composite_episode_lengths.js,composite
DistributeChicken,composite,52,110,composite_episode_lengths.js,composite
DistributeSteakOnPans,composite,22,106,composite_episode_lengths.js,composite
DivideBasins,composite,36,152,composite_episode_lengths.js,composite
DivideBuffetTrays,composite,166,100,composite_episode_lengths.js,composite
DrainVeggies,composite,59,107,composite_episode_lengths.js,composite
DrawerUtensilSort,composite,32,101,composite_episode_lengths.js,composite
DrinkwareConsolidation,composite,37,104,composite_episode_lengths.js,composite
DryDishes,composite,38,105,composite_episode_lengths.js,composite
DryDrinkware,composite,29,102,composite_episode_lengths.js,composite
DumpLeftovers,composite,21,103,composite_episode_lengths.js,composite
EmptyDishRack,composite,26,105,composite_episode_lengths.js,composite
FillBlenderJug,composite,33,105,composite_episode_lengths.js,composite
FillKettle,composite,79,105,composite_episode_lengths.js,composite
FilterMicrowavableItem,composite,38,106,composite_episode_lengths.js,composite
FoodCleanup,composite,57,101,composite_episode_lengths.js,composite
FreezeBottledWaters,composite,90,103,composite_episode_lengths.js,composite
FreezeCookedFood,composite,47,108,composite_episode_lengths.js,composite
FreezeIceTray,composite,52,110,composite_episode_lengths.js,composite
FreshProduceOrganization,composite,34,103,composite_episode_lengths.js,composite
FryingPanAdjustment,composite,30,108,composite_episode_lengths.js,composite
GarnishCake,composite,16,107,composite_episode_lengths.js,composite
GarnishCupcake,composite,36,108,composite_episode_lengths.js,composite
GarnishPancake,composite,64,105,composite_episode_lengths.js,composite
GatherCuttingTools,composite,46,105,composite_episode_lengths.js,composite
GatherMarinadeIngredients,composite,80,105,composite_episode_lengths.js,composite
GatherProduceWashing,composite,42,103,composite_episode_lengths.js,composite
GatherTableware,composite,44,103,composite_episode_lengths.js,composite
GatherVegetables,composite,31,105,composite_episode_lengths.js,composite
GetToastedBread,composite,77,103,composite_episode_lengths.js,composite
HeatKebabSandwich,composite,62,104,composite_episode_lengths.js,composite
HeatMug,composite,48,102,composite_episode_lengths.js,composite
HeatMultipleWater,composite,100,105,composite_episode_lengths.js,composite
HotDogSetup,composite,104,104,composite_episode_lengths.js,composite
JuiceFruitReamer,composite,12,110,composite_episode_lengths.js,composite
KettleBoiling,composite,31,101,composite_episode_lengths.js,composite
LemonSeasoningFish,composite,54,101,composite_episode_lengths.js,composite
LineUpCondiments,composite,66,102,composite_episode_lengths.js,composite
LoadCondimentsInFridge,composite,57,106,composite_episode_lengths.js,composite
LoadDishwasher,composite,41,100,composite_episode_lengths.js,composite
LoadFridgeByType,composite,32,104,composite_episode_lengths.js,composite
LoadFridgeFifo,composite,37,105,composite_episode_lengths.js,composite
LoadPreparedFood,composite,36,103,composite_episode_lengths.js,composite
LowerHeat,composite,14,110,composite_episode_lengths.js,atomic
MakeBananaMilkshake,composite,76,109,composite_episode_lengths.js,composite
MakeCheesecakeFilling,composite,49,107,composite_episode_lengths.js,composite
MakeChocolateMilk,composite,22,111,composite_episode_lengths.js,composite
MakeFruitBowl,composite,75,110,composite_episode_lengths.js,composite
MakeIcedCoffee,composite,14,102,composite_episode_lengths.js,atomic
MakeIceLemonade,composite,74,101,composite_episode_lengths.js,composite
MakeLoadedPotato,composite,70,102,composite_episode_lengths.js,composite
MatchCupAndDrink,composite,84,110,composite_episode_lengths.js,composite
MaximizeFreezerSpace,composite,38,105,composite_episode_lengths.js,composite
MealPrepStaging,composite,68,102,composite_episode_lengths.js,composite
MeatSkewerAssembly,composite,23,100,composite_episode_lengths.js,composite
MeatTransfer,composite,70,104,composite_episode_lengths.js,composite
MicrowaveCorrectMeal,composite,38,108,composite_episode_lengths.js,composite
MicrowaveDefrostMeat,composite,39,105,composite_episode_lengths.js,composite
MicrowaveThawing,composite,87,102,composite_episode_lengths.js,composite
MicrowaveThawingFridge,composite,63,100,composite_episode_lengths.js,composite
MixCakeFrosting,composite,62,104,composite_episode_lengths.js,composite
MixedFruitPlatter,composite,60,108,composite_episode_lengths.js,composite
MoveFreezerToFridge,composite,36,103,composite_episode_lengths.js,composite
MoveFridgeToFreezer,composite,42,103,composite_episode_lengths.js,composite
MoveToCounter,composite,24,109,composite_episode_lengths.js,composite
MoveToFreezerDrawer,composite,35,102,composite_episode_lengths.js,composite
MultistepSteaming,composite,85,101,composite_episode_lengths.js,composite
OrganizeBakingIngredients,composite,50,107,composite_episode_lengths.js,composite
OrganizeCleaningSupplies,composite,67,105,composite_episode_lengths.js,composite
OrganizeCoffeeCondiments,composite,44,100,composite_episode_lengths.js,composite
OrganizeCondiments,composite,49,105,composite_episode_lengths.js,composite
OrganizeMeasuringCups,composite,30,103,composite_episode_lengths.js,composite
OrganizeMetallicUtensils,composite,67,104,composite_episode_lengths.js,composite
OrganizeMugsByHandle,composite,22,105,composite_episode_lengths.js,composite
OrganizeVegetables,composite,18,109,composite_episode_lengths.js,composite
OvenBroilFish,composite,35,105,composite_episode_lengths.js,composite
PackDessert,composite,12,108,composite_episode_lengths.js,atomic
PackFoodByTemp,composite,123,110,composite_episode_lengths.js,composite
PackFruitContainer,composite,45,107,composite_episode_lengths.js,composite
PackIdenticalLunches,composite,87,102,composite_episode_lengths.js,composite
PackSnack,composite,21,106,composite_episode_lengths.js,composite
PanTransfer,composite,39,100,composite_episode_lengths.js,composite
PastryDisplay,composite,21,103,composite_episode_lengths.js,composite
PJSandwichPrep,composite,47,105,composite_episode_lengths.js,composite
PlaceBeveragesTogether,composite,91,109,composite_episode_lengths.js,composite
PlaceBreakfastItemsAway,composite,56,103,composite_episode_lengths.js,composite
PlaceDishesBySink,composite,62,103,composite_episode_lengths.js,composite
PlaceEqualIceCubes,composite,61,104,composite_episode_lengths.js,composite
PlaceFoodInBowls,composite,59,107,composite_episode_lengths.js,composite
PlaceIceInCup,composite,25,101,composite_episode_lengths.js,composite
PlaceLidToBoil,composite,22,103,composite_episode_lengths.js,composite
PlaceMeatInMarinade,composite,75,108,composite_episode_lengths.js,composite
PlaceMicrowaveSafeItem,composite,30,108,composite_episode_lengths.js,composite
PlaceOnDishRack,composite,35,103,composite_episode_lengths.js,composite
PlaceStraw,composite,28,100,composite_episode_lengths.js,composite
PlaceVegetablesEvenly,composite,33,108,composite_episode_lengths.js,composite
PlaceVeggiesInDrawer,composite,42,105,composite_episode_lengths.js,composite
PlateSteakMeal,composite,24,107,composite_episode_lengths.js,composite
PlateStoreDinner,composite,95,104,composite_episode_lengths.js,composite
PortionFruitBowl,composite,47,107,composite_episode_lengths.js,composite
PortionHotDogs,composite,48,109,composite_episode_lengths.js,composite
PortionInTupperware,composite,46,106,composite_episode_lengths.js,composite
PortionOnSize,composite,58,106,composite_episode_lengths.js,composite
PortionYogurt,composite,46,103,composite_episode_lengths.js,composite
PreheatPot,composite,56,105,composite_episode_lengths.js,composite
PrepareBroilingStation,composite,20,106,composite_episode_lengths.js,composite
PrepareCheeseStation,composite,57,107,composite_episode_lengths.js,composite
PrepareCocktailStation,composite,131,102,composite_episode_lengths.js,composite
PrepareCoffee,composite,39,102,composite_episode_lengths.js,composite
PrepareDishwasher,composite,26,105,composite_episode_lengths.js,composite
PrepareDrinkStation,composite,135,100,composite_episode_lengths.js,composite
PrepareSandwichStation,composite,41,106,composite_episode_lengths.js,composite
PrepareSausageCheese,composite,85,104,composite_episode_lengths.js,composite
PrepareSmoothie,composite,42,110,composite_episode_lengths.js,composite
PrepareSoupServing,composite,65,107,composite_episode_lengths.js,composite
PrepareStoringLeftovers,composite,54,102,composite_episode_lengths.js,composite
PrepareToast,composite,88,101,composite_episode_lengths.js,composite
PrepareVegetableRoasting,composite,24,107,composite_episode_lengths.js,composite
PrepareVeggieDip,composite,69,101,composite_episode_lengths.js,composite
PrepareVeggiesForSteaming,composite,19,104,composite_episode_lengths.js,composite
PrepForSanitizing,composite,88,100,composite_episode_lengths.js,composite
PrepForTenderizing,composite,54,107,composite_episode_lengths.js,composite
PrepFridgeForCleaning,composite,81,101,composite_episode_lengths.js,composite
PrepMarinatingMeat,composite,59,101,composite_episode_lengths.js,composite
PrepSinkForCleaning,composite,43,102,composite_episode_lengths.js,composite
PreRinseStation,composite,46,105,composite_episode_lengths.js,composite
PreSoakPan,composite,46,106,composite_episode_lengths.js,composite
PressChicken,composite,28,104,composite_episode_lengths.js,composite
PrewashFoodAssembly,composite,37,101,composite_episode_lengths.js,composite
PrewashFoodSorting,composite,75,106,composite_episode_lengths.js,composite
QuickThaw,composite,34,110,composite_episode_lengths.js,composite
RearrangeFridgeItems,composite,56,106,composite_episode_lengths.js,composite
RecycleBottlesBySize,composite,83,101,composite_episode_lengths.js,composite
RecycleBottlesByType,composite,60,100,composite_episode_lengths.js,composite
RecycleSodaCans,composite,146,104,composite_episode_lengths.js,composite
RecycleStackedYogurt,composite,45,102,composite_episode_lengths.js,composite
RefillCondimentStation,composite,47,104,composite_episode_lengths.js,composite
ReheatMeal,composite,43,107,composite_episode_lengths.js,composite
ReheatMeatOnStove,composite,20,106,composite_episode_lengths.js,composite
RemoveBroiledFish,composite,50,105,composite_episode_lengths.js,composite
RemoveCuttingBoardItems,composite,16,104,composite_episode_lengths.js,composite
RemoveSteamedVegetables,composite,24,104,composite_episode_lengths.js,composite
ReorganizeFrozenVegetables,composite,62,106,composite_episode_lengths.js,composite
ResetCabinetDoors,composite,68,106,composite_episode_lengths.js,composite
RestockBowls,composite,90,105,composite_episode_lengths.js,composite
RestockCannedFood,composite,20,108,composite_episode_lengths.js,composite
RestockPantry,composite,58,100,composite_episode_lengths.js,composite
RestockSinkSupplies,composite,48,103,composite_episode_lengths.js,composite
RetrieveIceTray,composite,50,101,composite_episode_lengths.js,composite
RetrieveMeat,composite,25,107,composite_episode_lengths.js,composite
ReturnHeatedFood,composite,31,107,composite_episode_lengths.js,composite
ReturnWashingSupplies,composite,119,100,composite_episode_lengths.js,composite
RinseBowls,composite,70,100,composite_episode_lengths.js,composite
RinseCuttingBoard,composite,49,107,composite_episode_lengths.js,composite
RinseFragileItem,composite,27,104,composite_episode_lengths.js,composite
RinseSinkBasin,composite,29,104,composite_episode_lengths.js,composite
RotatePan,composite,12,102,composite_episode_lengths.js,composite
SanitizePrepCuttingBoard,composite,46,108,composite_episode_lengths.js,composite
SanitizeSink,composite,26,103,composite_episode_lengths.js,composite
ScalePortioning,composite,49,102,composite_episode_lengths.js,composite
ScrubBowl,composite,30,100,composite_episode_lengths.js,composite
ScrubCuttingBoard,composite,22,103,composite_episode_lengths.js,composite
SearingMeat,composite,79,101,composite_episode_lengths.js,composite
SeasoningSpiceSetup,composite,88,105,composite_episode_lengths.js,composite
SeasoningSteak,composite,32,102,composite_episode_lengths.js,composite
SeparateFreezerRack,composite,56,103,composite_episode_lengths.js,composite
SeparateRawIngredients,composite,50,107,composite_episode_lengths.js,composite
ServeMealJuice,composite,48,103,composite_episode_lengths.js,composite
ServeSteak,composite,49,100,composite_episode_lengths.js,composite
ServeTea,composite,33,105,composite_episode_lengths.js,composite
ServeWarmCroissant,composite,37,100,composite_episode_lengths.js,composite
SetBowlsForSoup,composite,135,100,composite_episode_lengths.js,composite
SetupBowls,composite,65,107,composite_episode_lengths.js,composite
SetupButterPlate,composite,95,101,composite_episode_lengths.js,composite
SetUpCuttingStation,composite,52,102,composite_episode_lengths.js,composite
SetupFruitBowl,composite,90,102,composite_episode_lengths.js,composite
SetupFrying,composite,78,102,composite_episode_lengths.js,composite
SetupSodaBowl,composite,91,100,composite_episode_lengths.js,composite
SetUpSpiceStation,composite,84,100,composite_episode_lengths.js,composite
SetupWineGlasses,composite,77,101,composite_episode_lengths.js,composite
ShakePan,composite,11,110,composite_episode_lengths.js,composite
SimmeringSauce,composite,66,105,composite_episode_lengths.js,composite
SizeSorting,composite,27,106,composite_episode_lengths.js,composite
SnackSorting,composite,40,100,composite_episode_lengths.js,composite
SoakSponge,composite,62,100,composite_episode_lengths.js,composite
SortBreakfastIngredients,composite,46,106,composite_episode_lengths.js,composite
SortingCleanup,composite,70,110,composite_episode_lengths.js,composite
SpicyMarinade,composite,109,101,composite_episode_lengths.js,composite
StackBowlsCabinet,composite,38,103,composite_episode_lengths.js,composite
StackBowlsInSink,composite,32,100,composite_episode_lengths.js,composite
StackCans,composite,36,101,composite_episode_lengths.js,composite
StartElectricKettle,composite,23,108,composite_episode_lengths.js,composite
SteamFish,composite,20,107,composite_episode_lengths.js,composite
SteamInMicrowave,composite,45,102,composite_episode_lengths.js,composite
SteamVeggiesWithWater,composite,40,107,composite_episode_lengths.js,composite
StirVegetables,composite,52,105,composite_episode_lengths.js,composite
StockingBreakfastFoods,composite,49,105,composite_episode_lengths.js,composite
StopSlowCooking,composite,25,108,composite_episode_lengths.js,composite
StoreDumplings,composite,91,106,composite_episode_lengths.js,composite
StoreLeftoversByType,composite,60,100,composite_episode_lengths.js,composite
StoreLeftoversInBowl,composite,58,110,composite_episode_lengths.js,composite
StrainerSetup,composite,47,108,composite_episode_lengths.js,composite
SweetenCoffee,composite,46,107,composite_episode_lengths.js,composite
SweetenHotChocolate,composite,26,111,composite_episode_lengths.js,composite
SweetSavoryToastSetup,composite,74,110,composite_episode_lengths.js,composite
ThawInSink,composite,36,111,composite_episode_lengths.js,composite
TiltPan,composite,10,108,composite_episode_lengths.js,composite
ToastBagel,composite,51,103,composite_episode_lengths.js,composite
ToastBaguette,composite,78,101,composite_episode_lengths.js,composite
ToasterOvenBroilFish,composite,51,103,composite_episode_lengths.js,composite
ToastHeatableIngredients,composite,35,109,composite_episode_lengths.js,composite
ToastOnCorrectRack,composite,82,103,composite_episode_lengths.js,composite
ToastOneSlotPair,composite,24,106,composite_episode_lengths.js,composite
TongBuffetSetup,composite,58,104,composite_episode_lengths.js,composite
TransportCookware,composite,68,101,composite_episode_lengths.js,composite
TurnOffSimmeredSauceHeat,composite,34,109,composite_episode_lengths.js,composite
UtensilShuffle,composite,36,103,composite_episode_lengths.js,composite
VeggieDipPrep,composite,52,103,composite_episode_lengths.js,composite
WaffleReheat,composite,86,100,composite_episode_lengths.js,composite
WarmCroissant,composite,33,107,composite_episode_lengths.js,composite
WashFish,composite,29,104,composite_episode_lengths.js,composite
WashFruitColander,composite,60,103,composite_episode_lengths.js,composite
WashInSaucepan,composite,41,104,composite_episode_lengths.js,composite
WashLettuce,composite,38,104,composite_episode_lengths.js,composite
WeighIngredients,composite,62,104,composite_episode_lengths.js,composite
WipeTable,composite,13,106,composite_episode_lengths.js,composite
YogurtDelightPrep,composite,39,105,composite_episode_lengths.js,composite
