task,type,max_control_steps,nominal_seconds_at_20hz,has_pretrain,has_target
TurnOnBlender,atomic,300,15.0,True,False
TurnOnElectricKettle,atomic,450,22.5,True,True
TurnOnMicrowave,atomic,450,22.5,True,True
TurnOnSinkFaucet,atomic,600,30.0,True,True
TurnOnStove,atomic,450,22.5,True,False
TurnOnToaster,atomic,300,15.0,True,False
TurnOnToasterOven,atomic,450,22.5,True,False
TurnSinkSpout,atomic,300,15.0,True,False
MakeIcedCoffee,atomic,750,37.5,True,False
CheesyBread,atomic,750,37.5,True,False
LowerHeat,atomic,750,37.5,True,False
PackDessert,atomic,600,30.0,True,False
AddIceCubes,composite,1650,82.5,True,False
AddLemonToFish,composite,2100,105.0,True,False
AddMarshmallow,composite,1200,60.0,True,False
AddSugarCubes,composite,900,45.0,True,False
AddSweetener,composite,1200,60.0,True,False
AdjustHeat,composite,2250,112.5,True,False
AfterwashSorting,composite,3000,150.0,True,False
AirDryFruit,composite,2850,142.5,True,False
AlcoholServingPrep,composite,4650,232.5,True,False
AlignSilverware,composite,2550,127.5,True,False
ArrangeBreadBasket,composite,4350,217.5,False,True
ArrangeBreadBowl,composite,1350,67.5,True,False
ArrangeBuffetDessert,composite,4050,202.5,True,False
ArrangeDrinkware,composite,1650,82.5,True,False
ArrangeTea,composite,2250,112.5,False,True
ArrangeTeaAccompaniments,composite,1650,82.5,True,False
ArrangeUtensilsByType,composite,5100,255.0,True,False
ArrangeVegetables,composite,1650,82.5,True,False
AssembleCookingArray,composite,3300,165.0,True,False
BalancedMealPrep,composite,1500,75.0,True,False
BeverageOrganization,composite,4500,225.0,True,False
BeverageSorting,composite,5250,262.5,True,False
BlendIngredients,composite,1800,90.0,True,False
BlendMarinade,composite,3000,150.0,True,False
BowlAndCup,composite,2400,120.0,True,False
BreadAndCheese,composite,900,45.0,True,False
BreadSelection,composite,1950,97.5,False,True
BreadSetupSlicing,composite,1200,60.0,True,False
BuildAppetizerPlate,composite,4050,202.5,True,False
ButterOnPan,composite,1350,67.5,True,False
CandleCleanup,composite,4500,225.0,True,False
CategorizeCondiments,composite,1650,82.5,False,True
CerealAndBowl,composite,4350,217.5,True,False
ChooseMeasuringCup,composite,1800,90.0,True,False
ChooseRipeFruit,composite,900,45.0,True,False
CleanBoard,composite,4800,240.0,True,False
CleanMicrowave,composite,2100,105.0,True,False
ClearClutter,composite,3300,165.0,True,False
ClearCuttingBoard,composite,1800,90.0,True,False
ClearFoodWaste,composite,1650,82.5,True,False
ClearFreezer,composite,3600,180.0,True,False
ClearReceptaclesForCleaning,composite,3900,195.0,True,False
ClearSink,composite,4950,247.5,True,False
ClearSinkArea,composite,3300,165.0,True,False
ClearSinkSpace,composite,1800,90.0,True,False
CollectWashingSupplies,composite,2700,135.0,True,False
ColorfulSalsa,composite,2400,120.0,True,False
CondimentCollection,composite,2100,105.0,True,False
CookieDoughPrep,composite,2850,142.5,True,False
CoolBakedCake,composite,3600,180.0,True,False
CoolKettle,composite,2400,120.0,True,False
CreateChildFriendlyFridge,composite,3300,165.0,True,False
CupcakeCleanup,composite,1050,52.5,True,False
CutBuffetPizza,composite,1950,97.5,True,False
CuttingToolSelection,composite,1200,60.0,False,True
DateNight,composite,4800,240.0,True,False
DefrostByCategory,composite,3300,165.0,True,False
DeliverBrewedCoffee,composite,1050,52.5,True,False
DeliverStraw,composite,2550,127.5,True,True
DessertAssembly,composite,1350,67.5,True,False
DessertUpgrade,composite,1200,60.0,True,False
DisplayMeatVariety,composite,4350,217.5,True,False
DistributeChicken,composite,2400,120.0,True,False
DivideBasins,composite,2100,105.0,True,False
DivideBuffetTrays,composite,7200,360.0,True,False
DrainVeggies,composite,2400,120.0,True,False
DrinkwareConsolidation,composite,3600,180.0,True,False
DryDishes,composite,1650,82.5,True,False
DryDrinkware,composite,1350,67.5,True,False
DumpLeftovers,composite,900,45.0,True,False
FillBlenderJug,composite,1500,75.0,True,False
FillKettle,composite,3300,165.0,True,False
FilterMicrowavableItem,composite,1650,82.5,True,False
FoodCleanup,composite,1200,60.0,True,False
FreezeBottledWaters,composite,3900,195.0,True,False
FreezeCookedFood,composite,1950,97.5,True,False
FreezeIceTray,composite,2400,120.0,True,False
FreshProduceOrganization,composite,1500,75.0,True,False
FryingPanAdjustment,composite,1200,60.0,True,False
GarnishCupcake,composite,1800,90.0,True,False
GarnishPancake,composite,2700,135.0,False,True
GatherCuttingTools,composite,2400,120.0,True,False
GatherMarinadeIngredients,composite,3300,165.0,True,False
GatherTableware,composite,2250,112.5,False,True
GatherVegetables,composite,1350,67.5,True,False
GetToastedBread,composite,3000,150.0,True,True
HeatKebabSandwich,composite,2700,135.0,False,True
HeatMug,composite,1800,90.0,True,False
HeatMultipleWater,composite,4200,210.0,True,False
HotDogSetup,composite,4200,210.0,True,False
JuiceFruitReamer,composite,600,30.0,True,False
KettleBoiling,composite,1500,75.0,True,True
LemonSeasoningFish,composite,2250,112.5,True,False
LineUpCondiments,composite,3000,150.0,True,False
LoadCondimentsInFridge,composite,3000,150.0,True,False
LoadDishwasher,composite,1800,90.0,True,True
LoadFridgeByType,composite,1500,75.0,True,False
LoadFridgeFifo,composite,1500,75.0,True,False
LoadPreparedFood,composite,1500,75.0,True,False
MakeFruitBowl,composite,3450,172.5,True,False
MakeIceLemonade,composite,3000,150.0,False,True
MakeLoadedPotato,composite,3000,150.0,True,False
MatchCupAndDrink,composite,3750,187.5,True,False
MaximizeFreezerSpace,composite,1650,82.5,True,False
MealPrepStaging,composite,3000,150.0,True,False
MeatSkewerAssembly,composite,1200,60.0,True,False
MeatTransfer,composite,3450,172.5,True,False
MicrowaveCorrectMeal,composite,1500,75.0,True,False
MicrowaveDefrostMeat,composite,1800,90.0,True,False
MicrowaveThawing,composite,4650,232.5,True,False
MicrowaveThawingFridge,composite,2700,135.0,True,False
MixCakeFrosting,composite,2550,127.5,True,False
MixedFruitPlatter,composite,2550,127.5,True,False
MoveFreezerToFridge,composite,1500,75.0,True,False
MoveFridgeToFreezer,composite,1650,82.5,True,False
MoveToCounter,composite,1200,60.0,True,False
MoveToFreezerDrawer,composite,1800,90.0,True,False
MultistepSteaming,composite,3450,172.5,True,False
OrganizeBakingIngredients,composite,2400,120.0,True,False
OrganizeCleaningSupplies,composite,4050,202.5,True,False
OrganizeCoffeeCondiments,composite,1950,97.5,True,False
OrganizeCondiments,composite,2250,112.5,True,False
OrganizeMetallicUtensils,composite,3150,157.5,True,False
OrganizeMugsByHandle,composite,1350,67.5,True,False
OrganizeVegetables,composite,900,45.0,True,False
OvenBroilFish,composite,1500,75.0,True,False
PackFoodByTemp,composite,4950,247.5,True,False
PackFruitContainer,composite,1950,97.5,True,False
PackIdenticalLunches,composite,3900,195.0,True,True
PanTransfer,composite,1800,90.0,False,True
PastryDisplay,composite,1050,52.5,True,False
PlaceBeveragesTogether,composite,3900,195.0,True,False
PlaceDishesBySink,composite,2400,120.0,True,False
PlaceEqualIceCubes,composite,2850,142.5,True,False
PlaceFoodInBowls,composite,2550,127.5,True,False
PlaceIceInCup,composite,1200,60.0,True,False
PlaceMeatInMarinade,composite,3300,165.0,True,False
PlaceMicrowaveSafeItem,composite,1350,67.5,True,False
PlaceOnDishRack,composite,1500,75.0,False,False
PlaceStraw,composite,1350,67.5,True,False
PlaceVegetablesEvenly,composite,1500,75.0,True,False
PlaceVeggiesInDrawer,composite,1950,97.5,True,False
PlateSteakMeal,composite,1050,52.5,True,False
PlateStoreDinner,composite,3900,195.0,True,False
PortionFruitBowl,composite,2100,105.0,True,False
PortionHotDogs,composite,2250,112.5,False,True
PortionInTupperware,composite,1950,97.5,True,False
PortionOnSize,composite,2700,135.0,True,False
PortionYogurt,composite,2100,105.0,True,False
PreRinseStation,composite,2250,112.5,True,False
PreSoakPan,composite,2400,120.0,True,True
PreheatPot,composite,2700,135.0,True,False
PrepForSanitizing,composite,3750,187.5,True,False
PrepForTenderizing,composite,2400,120.0,True,False
PrepFridgeForCleaning,composite,3600,180.0,True,False
PrepMarinatingMeat,composite,2850,142.5,True,False
PrepSinkForCleaning,composite,1800,90.0,True,False
PrepareBroilingStation,composite,900,45.0,True,False
PrepareCheeseStation,composite,2400,120.0,True,False
PrepareCocktailStation,composite,5250,262.5,True,False
PrepareCoffee,composite,1800,90.0,True,True
PrepareDishwasher,composite,1350,67.5,True,False
PrepareDrinkStation,composite,5850,292.5,True,False
PrepareSausageCheese,composite,3600,180.0,True,False
PrepareSmoothie,composite,1800,90.0,True,False
PrepareSoupServing,composite,3450,172.5,True,False
PrepareStoringLeftovers,composite,2400,120.0,True,False
PrepareToast,composite,3750,187.5,True,False
PressChicken,composite,1500,75.0,True,False
PrewashFoodAssembly,composite,1650,82.5,True,False
PrewashFoodSorting,composite,3600,180.0,True,False
QuickThaw,composite,1650,82.5,True,False
RearrangeFridgeItems,composite,2400,120.0,True,False
RecycleBottlesBySize,composite,3750,187.5,True,False
RecycleBottlesByType,composite,2850,142.5,False,True
RecycleSodaCans,composite,6750,337.5,True,False
RecycleStackedYogurt,composite,2100,105.0,True,False
RefillCondimentStation,composite,1950,97.5,True,False
ReheatMeal,composite,1800,90.0,True,False
RemoveBroiledFish,composite,2100,105.0,True,False
RemoveCuttingBoardItems,composite,750,37.5,True,False
ReorganizeFrozenVegetables,composite,2700,135.0,True,False
ResetCabinetDoors,composite,3300,165.0,True,False
RestockBowls,composite,3600,180.0,True,False
RestockCannedFood,composite,1050,52.5,True,False
RestockPantry,composite,2550,127.5,True,False
RestockSinkSupplies,composite,2250,112.5,True,False
RetrieveIceTray,composite,2550,127.5,True,False
RetrieveMeat,composite,1050,52.5,True,False
ReturnHeatedFood,composite,1350,67.5,True,False
ReturnWashingSupplies,composite,5100,255.0,True,False
RinseBowls,composite,2850,142.5,True,False
RinseCuttingBoard,composite,2250,112.5,True,False
RinseSinkBasin,composite,1350,67.5,True,True
RotatePan,composite,600,30.0,True,False
SanitizePrepCuttingBoard,composite,2100,105.0,True,False
ScalePortioning,composite,2100,105.0,True,False
ScrubBowl,composite,1350,67.5,True,False
ScrubCuttingBoard,composite,1200,60.0,True,True
SearingMeat,composite,4350,217.5,True,True
SeasoningSpiceSetup,composite,4200,210.0,True,False
SeasoningSteak,composite,1350,67.5,True,False
SeparateFreezerRack,composite,2400,120.0,False,True
ServeSteak,composite,2100,105.0,True,False
ServeTea,composite,1350,67.5,True,False
ServeWarmCroissant,composite,1800,90.0,True,False
SetBowlsForSoup,composite,5400,270.0,True,False
SetUpCuttingStation,composite,2400,120.0,True,True
SetUpSpiceStation,composite,4050,202.5,True,False
SetupBowls,composite,2700,135.0,True,False
SetupButterPlate,composite,4050,202.5,True,False
SetupFruitBowl,composite,3750,187.5,True,False
SetupFrying,composite,3150,157.5,True,False
SetupSodaBowl,composite,3600,180.0,True,False
SetupWineGlasses,composite,3150,157.5,True,False
ShakePan,composite,600,30.0,True,False
SimmeringSauce,composite,3450,172.5,True,False
SizeSorting,composite,1500,75.0,True,False
SnackSorting,composite,1950,97.5,True,False
SoakSponge,composite,2550,127.5,True,False
SortingCleanup,composite,3000,150.0,True,False
SpicyMarinade,composite,5400,270.0,True,False
StackBowlsCabinet,composite,2100,105.0,True,True
StackBowlsInSink,composite,1350,67.5,True,False
StackCans,composite,1800,90.0,True,False
StartElectricKettle,composite,1050,52.5,True,False
SteamInMicrowave,composite,2100,105.0,True,True
StirVegetables,composite,2400,120.0,True,True
StockingBreakfastFoods,composite,2400,120.0,True,False
StoreDumplings,composite,3750,187.5,True,False
StoreLeftoversByType,composite,2550,127.5,True,False
StoreLeftoversInBowl,composite,2550,127.5,True,True
StrainerSetup,composite,2250,112.5,True,False
SweetSavoryToastSetup,composite,4050,202.5,True,False
SweetenCoffee,composite,1950,97.5,True,False
SweetenHotChocolate,composite,2100,105.0,True,False
ThawInSink,composite,1500,75.0,True,False
TiltPan,composite,600,30.0,True,False
ToastBagel,composite,2250,112.5,True,False
ToastBaguette,composite,3900,195.0,True,False
ToastOnCorrectRack,composite,3900,195.0,True,False
TongBuffetSetup,composite,2400,120.0,True,False
TransportCookware,composite,2850,142.5,True,False
TurnOffSimmeredSauceHeat,composite,1500,75.0,True,False
VeggieDipPrep,composite,3150,157.5,True,False
WaffleReheat,composite,4050,202.5,False,True
WarmCroissant,composite,1650,82.5,True,False
WashFish,composite,1350,67.5,True,False
WashFruitColander,composite,3150,157.5,False,True
WashLettuce,composite,1650,82.5,True,True
WeighIngredients,composite,3000,150.0,False,True
YogurtDelightPrep,composite,2250,112.5,True,False
